,event_title,date,location
92,UFC Fight Night: Blachowicz vs. Jacare,16-2019-11,"Sao Paulo, Sao Paulo, Brazil"
93,UFC Fight Night: Zabit vs. Kattar,09-2019-11,"Moscow, Moscow, Russia"
94,UFC 244: Masvidal vs. Diaz,02-2019-11,"New York City, New York, USA"
95,UFC Fight Night: Maia vs. Askren,26-2019-10,"Kallang, Singapore"
96,UFC Fight Night: Reyes vs. Weidman,18-2019-10,"Boston, Massachusetts, USA"
97,UFC Fight Night: Joanna vs. Waterson,12-2019-10,"Tampa, Florida, USA"
98,UFC 243: Whittaker vs. Adesanya,05-2019-10,"Melbourne, Victoria, Australia"
99,UFC Fight Night: Hermansson vs. Cannonier,28-2019-09,"Copenhagen, Denmark"
100,UFC Fight Night: Rodriguez vs. Stephens,21-2019-09,"Mexico City, Distrito Federal, Mexico"
101,UFC Fight Night: Cowboy vs. Gaethje,14-2019-09,"Vancouver, British Columbia, Canada"
102,UFC 242: Khabib vs. Poirier,07-2019-09,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
103,UFC Fight Night: Andrade vs. Zhang,31-2019-08,"Shenzhen, Guangdong, China"
104,UFC 241: Cormier vs. Miocic 2,17-2019-08,"Anaheim, California, USA"
105,UFC Fight Night: Shevchenko vs. Carmouche 2,10-2019-08,"Montevideo, Uruguay"
106,UFC Fight Night: Covington vs. Lawler,03-2019-08,"Newark, New Jersey, USA"
107,UFC 240: Holloway vs. Edgar,27-2019-07,"Edmonton, Alberta, Canada"
108,UFC Fight Night: Dos Anjos vs. Edwards,20-2019-07,"San Antonio, Texas, USA"
109,UFC Fight Night: De Randamie vs. Ladd,13-2019-07,"Sacramento, California, USA"
110,UFC 239: Jones vs. Santos,06-2019-07,"Las Vegas, Nevada, USA"
111,UFC Fight Night: Ngannou vs. Dos Santos,29-2019-06,"Minneapolis, Minnesota, USA"
112,UFC Fight Night: Moicano vs. The Korean Zombie,22-2019-06,"Greenville, South Carolina, USA"
113,UFC 238: Cejudo vs. Moraes,08-2019-06,"Chicago, Illinois, USA"
114,UFC Fight Night: Gustafsson vs. Smith,01-2019-06,"Stockholm, Sweden"
115,UFC Fight Night: Dos Anjos vs. Lee,18-2019-05,"Rochester, New York, USA"
116,UFC 237: Namajunas vs. Andrade,11-2019-05,"Rio de Janeiro, Rio de Janeiro, Brazil"
117,UFC Fight Night: Iaquinta vs. Cowboy,04-2019-05,"Ottawa, Ontario, Canada"
118,UFC Fight Night: Jacare vs. Hermansson,27-2019-04,"Sunrise, Florida, USA"
119,UFC Fight Night: Overeem vs. Oleinik,20-2019-04,"Saint Petersburg, Saint Petersburg, Russia"
120,UFC 236: Holloway vs. Poirier 2,13-2019-04,"Atlanta, Georgia, USA"
121,UFC Fight Night: Barboza vs. Gaethje,30-2019-03,"Philadelphia, Pennsylvania, USA"
122,UFC Fight Night: Thompson vs. Pettis,23-2019-03,"Nashville, Tennessee, USA"
123,UFC Fight Night: Till vs. Masvidal,16-2019-03,"London, England, United Kingdom"
124,UFC Fight Night: Lewis vs. Dos Santos,09-2019-03,"Wichita, Kansas, USA"
125,UFC 235: Jones vs. Smith,02-2019-03,"Las Vegas, Nevada, USA"
126,UFC Fight Night: Blachowicz vs. Santos,23-2019-02,"Prague, Czech Republic"
127,UFC Fight Night: Ngannou vs. Velasquez,17-2019-02,"Phoenix, Arizona, USA"
128,UFC 234: Adesanya vs. Silva,09-2019-02,"Melbourne, Victoria, Australia"
129,UFC Fight Night: Assuncao vs. Moraes 2,02-2019-02,"Fortaleza, Ceara, Brazil"
130,UFC Fight Night: Cejudo vs. Dillashaw,19-2019-01,"Brooklyn, New York, USA"
131,UFC 232: Jones vs. Gustafsson 2,29-2018-12,"Los Angeles, California, USA"
132,UFC Fight Night: Lee vs. Iaquinta,15-2018-12,"Milwaukee, Wisconsin, USA"
133,UFC 231: Holloway vs. Ortega,08-2018-12,"Toronto, Ontario, Canada"
134,UFC Fight Night: Dos Santos vs. Tuivasa,01-2018-12,"Adelaide, South Australia, Australia"
135,The Ultimate Fighter: Heavy Hitters Finale,30-2018-11,"Las Vegas, Nevada, USA"
136,UFC Fight Night: Blaydes vs. Ngannou 2,24-2018-11,"Beijing, China"
