,red_fighter,blue_fighter,red_kd,blue_kd,red_ss_pct,blue_ss_pct,red_td_pct,blue_td_pct,red_sub_att,blue_sub_att,red_rev,blue_rev,red_ctrl_time,blue_ctrl_time,result,method,round,time,event_title,weight_class,red_ss_att,red_ss_landed,blue_ss_att,blue_ss_landed,red_ts_att,red_ts_landed,blue_ts_att,blue_ts_landed,red_td_att,red_td_landed,blue_td_att,blue_td_landed,red_head_att,red_head_landed,blue_head_att,blue_head_landed,red_body_att,red_body_landed,blue_body_att,blue_body_landed,red_leg_att,red_leg_landed,blue_leg_att,blue_leg_landed,red_dist_att,red_dist_landed,blue_dist_att,blue_dist_landed,red_clinch_att,red_clinch_landed,blue_clinch_att,blue_clinch_landed,red_grnd_att,red_grnd_landed,blue_grnd_att,blue_grnd_landed,fight_time,early_finish,title_bout,date,location
4423,Joe Lauzon,Jamie Varner,0,1,0.37,0.46,0.4,0.5,1,1,2,2,2.183333333333333,1.6833333333333333,Joe Lauzon , Submission ,3,2.7333333333333334,UFC on FOX: Shogun vs Vera,Lightweight ,118,44,177,82,130,55,181,84,5,2,4,2,115,42,141,53,2,1,31,26,1,1,5,3,108,35,172,78,2,1,3,2,8,8,2,2,12.733333333333334,1,0,04-2012-08,"Los Angeles, California, USA"
4424,Mike Swick,DaMarques Johnson,0,0,0.46,0.32,1.0,1.0,0,0,0,0,0.21666666666666667,3.3833333333333333,Mike Swick , KO/TKO ,2,1.3333333333333333,UFC on FOX: Shogun vs Vera,Welterweight ,41,19,53,17,51,27,67,28,1,1,2,2,38,18,49,13,3,1,3,3,0,0,1,1,36,15,41,8,2,1,1,0,3,3,11,9,6.333333333333333,1,0,04-2012-08,"Los Angeles, California, USA"
4425,Cole Miller,Nam Phan,0,0,0.33,0.35,0.0,0.0,0,0,0,0,0.0,0.0,Nam Phan , Decision - Split ,3,5.0,UFC on FOX: Shogun vs Vera,Featherweight ,422,143,366,129,422,143,366,129,1,0,0,0,381,120,314,96,36,18,43,26,5,5,9,7,422,143,366,129,0,0,0,0,0,0,0,0,15.0,0,0,04-2012-08,"Los Angeles, California, USA"
4426,Phil Davis,Wagner Prado,0,0,0.33,0.12,0.0,0.0,0,0,0,0,0.0,0.0,NC, Could Not Continue ,1,1.4666666666666666,UFC on FOX: Shogun vs Vera,Light Heavyweight ,12,4,16,2,12,4,17,3,0,0,0,0,9,3,15,2,3,1,1,0,0,0,0,0,12,4,16,2,0,0,0,0,0,0,0,0,1.4666666666666666,1,0,04-2012-08,"Los Angeles, California, USA"
4427,Josh Grispi,Rani Yahya,0,0,0.6,0.33,0.0,0.5,0,1,0,0,0.1,2.466666666666667,Rani Yahya , Submission ,1,3.25,UFC on FOX: Shogun vs Vera,Featherweight ,10,6,9,3,12,8,27,11,0,0,2,1,7,3,7,2,2,2,0,0,1,1,2,1,9,5,6,1,0,0,0,0,1,1,3,2,3.25,1,0,04-2012-08,"Los Angeles, California, USA"
4428,Philip De Fries,Oli Thompson,1,0,0.45,0.51,0.33,0.0,1,0,0,0,6.066666666666666,0.8166666666666667,Philip De Fries , Submission ,2,4.266666666666667,UFC on FOX: Shogun vs Vera,Heavyweight ,77,35,35,18,109,55,47,29,6,2,3,0,70,29,17,4,6,5,13,11,1,1,5,3,48,15,23,8,17,13,12,10,12,7,0,0,9.266666666666666,1,0,04-2012-08,"Los Angeles, California, USA"
4429,Manvel Gamburyan,Michihiro Omigawa,0,1,0.44,0.43,0.5,0.0,0,0,0,0,4.7,1.05,Manvel Gamburyan , Decision - Unanimous ,3,5.0,UFC on FOX: Shogun vs Vera,Featherweight ,116,52,94,41,125,58,127,71,12,6,2,0,97,37,77,30,10,7,5,4,9,8,12,7,108,47,89,37,8,5,5,4,0,0,0,0,15.0,0,0,04-2012-08,"Los Angeles, California, USA"
4430,John Moraga,Ulysses Gomez,1,0,0.53,0.37,0.0,0.0,0,0,0,0,0.35,0.38333333333333336,John Moraga , KO/TKO ,1,3.7666666666666666,UFC on FOX: Shogun vs Vera,Flyweight ,63,34,43,16,66,36,43,16,0,0,5,0,37,12,32,7,16,13,4,3,10,9,7,6,51,24,40,13,11,9,3,3,1,1,0,0,3.7666666666666666,1,0,04-2012-08,"Los Angeles, California, USA"
4431,Urijah Faber,Renan Barao,0,0,0.33,0.29,0.0,0.0,0,0,0,0,0.13333333333333333,0.0,Renan Barao , Decision - Unanimous ,5,5.0,UFC 149: Faber vs Barao, Interim Bantamweight  ,178,60,290,85,180,62,290,85,6,0,0,0,141,38,236,55,26,12,23,10,11,10,31,20,170,57,282,81,8,3,8,4,0,0,0,0,25.0,0,1,21-2012-07,"Calgary, Alberta, Canada"
4432,Hector Lombard,Tim Boetsch,0,0,0.33,0.55,0.5,0.0,0,0,0,0,2.3833333333333333,0.11666666666666667,Tim Boetsch , Decision - Split ,3,5.0,UFC 149: Faber vs Barao,Middleweight ,77,26,98,54,99,47,101,57,4,2,9,0,65,18,39,11,6,6,32,20,6,2,27,23,70,22,78,42,5,2,20,12,2,2,0,0,15.0,0,0,21-2012-07,"Calgary, Alberta, Canada"
