,red_fighter,blue_fighter,red_kd,blue_kd,red_ss_pct,blue_ss_pct,red_td_pct,blue_td_pct,red_sub_att,blue_sub_att,red_rev,blue_rev,red_ctrl_time,blue_ctrl_time,result,method,round,time,event_title,weight_class,red_ss_att,red_ss_landed,blue_ss_att,blue_ss_landed,red_ts_att,red_ts_landed,blue_ts_att,blue_ts_landed,red_td_att,red_td_landed,blue_td_att,blue_td_landed,red_head_att,red_head_landed,blue_head_att,blue_head_landed,red_body_att,red_body_landed,blue_body_att,blue_body_landed,red_leg_att,red_leg_landed,blue_leg_att,blue_leg_landed,red_dist_att,red_dist_landed,blue_dist_att,blue_dist_landed,red_clinch_att,red_clinch_landed,blue_clinch_att,blue_clinch_landed,red_grnd_att,red_grnd_landed,blue_grnd_att,blue_grnd_landed,fight_time,early_finish,title_bout,date,location
1779,Jessica-Rose Clark,Jessica Eye,0,0,0.36,0.29,0.0,0.5,0,0,0,0,0.03333333333333333,2.0833333333333335,Jessica Eye , Decision - Unanimous ,3,5.0,UFC Fight Night: Cowboy vs. Edwards,Women's Flyweight ,139,51,225,67,139,51,232,74,0,0,2,1,111,30,182,38,18,13,35,23,10,8,8,6,132,46,217,60,5,4,0,0,2,1,8,7,15.0,0,0,23-2018-06,"Kallang, Singapore"
1780,Li Jingliang,Daichi Abe,0,0,0.46,0.29,0.0,0.0,0,0,0,0,0.0,0.0,Li Jingliang , Decision - Unanimous ,3,5.0,UFC Fight Night: Cowboy vs. Edwards,Welterweight ,206,96,154,45,206,96,154,45,0,0,0,0,111,32,123,24,23,13,6,1,72,51,25,20,205,95,153,45,1,1,1,0,0,0,0,0,15.0,0,0,23-2018-06,"Kallang, Singapore"
1781,Teruto Ishihara,Petr Yan,0,2,0.36,0.62,0.0,0.0,0,0,0,0,0.3,0.06666666666666667,Petr Yan , KO/TKO ,1,3.466666666666667,UFC Fight Night: Cowboy vs. Edwards,Bantamweight ,30,11,40,25,30,11,45,29,2,0,0,0,18,4,32,18,5,2,8,7,7,5,0,0,28,9,31,19,2,2,1,1,0,0,8,5,3.466666666666667,1,0,23-2018-06,"Kallang, Singapore"
1782,Felipe Arantes,Song Yadong,0,1,0.25,0.39,0.0,1.0,0,1,0,0,0.26666666666666666,6.233333333333333,Song Yadong , KO/TKO ,2,4.983333333333333,UFC Fight Night: Cowboy vs. Edwards,Bantamweight ,31,8,100,39,32,9,155,88,2,0,1,1,27,7,80,26,3,0,13,7,1,1,7,6,31,8,63,14,0,0,5,4,0,0,32,21,9.983333333333334,1,0,23-2018-06,"Kallang, Singapore"
1783,Rolando Dy,Shane Young,0,0,0.37,0.48,0.0,0.2,0,0,0,0,0.0,1.7333333333333334,Shane Young , KO/TKO ,2,4.666666666666667,UFC Fight Night: Cowboy vs. Edwards,Featherweight ,152,57,215,104,153,58,230,116,0,0,5,1,131,41,183,74,18,13,22,20,3,3,10,10,140,49,191,89,12,8,24,15,0,0,0,0,9.666666666666668,1,0,23-2018-06,"Kallang, Singapore"
1784,Song Kenan,Hector Aldana,1,0,0.45,0.43,0.0,1.0,0,0,0,0,0.06666666666666667,0.18333333333333332,Song Kenan , KO/TKO ,2,4.75,UFC Fight Night: Cowboy vs. Edwards,Welterweight ,71,32,90,39,76,34,92,41,0,0,2,2,52,17,59,17,5,3,10,6,14,12,21,16,64,27,89,38,0,0,0,0,7,5,1,1,9.75,1,0,23-2018-06,"Kallang, Singapore"
1785,Shinsho Anzai,Jake Matthews,0,0,0.2,0.63,0.0,1.0,0,1,0,0,0.9333333333333333,1.0,Jake Matthews , Submission ,1,2.7333333333333334,UFC Fight Night: Cowboy vs. Edwards,Welterweight ,5,1,19,12,13,6,25,18,1,0,1,1,4,0,16,9,1,1,3,3,0,0,0,0,4,0,8,5,1,1,8,5,0,0,3,2,2.7333333333333334,1,0,23-2018-06,"Kallang, Singapore"
1786,Viviane Pereira,Yan Xiaonan,0,0,0.2,0.31,0.0,0.0,0,0,0,0,0.0,0.0,Yan Xiaonan , Decision - Unanimous ,3,5.0,UFC Fight Night: Cowboy vs. Edwards,Women's Strawweight ,212,44,227,71,212,44,227,71,0,0,0,0,189,34,174,42,23,10,8,2,0,0,45,27,210,43,226,71,2,1,1,0,0,0,0,0,15.0,0,0,23-2018-06,"Kallang, Singapore"
1787,Matt Schnell,Naoki Inoue,0,0,0.38,0.24,0.0,0.0,0,0,0,0,0.0,0.6166666666666667,Matt Schnell , Decision - Split ,3,5.0,UFC Fight Night: Cowboy vs. Edwards,Flyweight ,183,71,196,48,192,79,212,64,1,0,1,0,141,43,172,35,12,5,4,2,30,23,20,11,177,68,190,42,6,3,6,6,0,0,0,0,15.0,0,0,23-2018-06,"Kallang, Singapore"
1788,Jenel Lausa,Yuta Sasaki,0,0,0.5,0.44,0.0,0.71,0,1,0,0,0.2,6.85,Yuta Sasaki , Submission ,2,4.066666666666666,UFC Fight Night: Cowboy vs. Edwards,Flyweight ,14,7,56,25,16,9,66,34,0,0,7,5,10,4,46,18,3,2,8,6,1,1,2,1,12,5,17,6,0,0,5,4,2,2,34,15,9.066666666666666,1,0,23-2018-06,"Kallang, Singapore"
1789,Ji Yeon Kim,Melinda Fabian,0,0,0.3,0.41,0.0,0.0,0,0,0,0,2.433333333333333,0.03333333333333333,Ji Yeon Kim , Decision - Split ,3,5.0,UFC Fight Night: Cowboy vs. Edwards,Women's Flyweight ,241,73,173,72,261,93,180,79,0,0,1,0,205,46,127,39,29,22,18,11,7,5,28,22,215,52,154,66,26,21,19,6,0,0,0,0,15.0,0,0,23-2018-06,"Kallang, Singapore"
1790,Robert Whittaker,Yoel Romero,0,2,0.39,0.46,0.0,0.3,0,0,0,0,0.6166666666666667,4.35,Robert Whittaker , Decision - Split ,5,5.0,UFC 225: Whittaker vs. Romero 2,Middleweight ,326,128,240,111,328,129,287,149,1,0,10,3,225,57,194,76,39,23,27,19,62,48,19,16,308,119,177,66,17,9,40,25,1,0,23,20,25.0,0,0,09-2018-06,"Chicago, Illinois, USA"
1791,Rafael Dos Anjos,Colby Covington,0,0,0.53,0.33,0.5,0.38,0,0,0,0,2.2333333333333334,12.616666666666667,Colby Covington , Decision - Unanimous ,5,5.0,UFC 225: Whittaker vs. Romero 2, Interim Welterweight  ,198,105,296,99,223,130,346,142,6,3,18,7,139,54,229,54,45,37,33,14,14,14,34,31,163,70,278,90,32,32,16,8,3,3,2,1,25.0,0,1,09-2018-06,"Chicago, Illinois, USA"
1792,Holly Holm,Megan Anderson,0,0,0.66,0.44,0.5,0.0,1,0,0,1,10.716666666666667,0.0,Holly Holm , Decision - Unanimous ,3,5.0,UFC 225: Whittaker vs. Romero 2,Women's Featherweight ,71,47,58,26,176,143,81,48,8,4,0,0,47,27,42,15,14,12,16,11,10,8,0,0,35,19,48,19,10,8,10,7,26,20,0,0,15.0,0,0,09-2018-06,"Chicago, Illinois, USA"
1793,Andrei Arlovski,Tai Tuivasa,0,1,0.4,0.45,0.0,0.0,0,0,0,0,0.6333333333333333,1.65,Tai Tuivasa , Decision - Unanimous ,3,5.0,UFC 225: Whittaker vs. Romero 2,Heavyweight ,125,51,120,54,126,52,120,54,2,0,0,0,97,32,98,36,10,7,15,12,18,12,7,6,116,46,109,49,7,5,11,5,2,0,0,0,15.0,0,0,09-2018-06,"Chicago, Illinois, USA"
1794,CM Punk,Mike Jackson,0,0,0.23,0.59,0.11,1.0,0,0,1,0,2.8666666666666667,7.433333333333334,NC, Overturned ,3,5.0,UFC 225: Whittaker vs. Romero 2,Welterweight ,81,19,108,64,129,56,177,129,9,1,1,1,63,10,95,54,13,7,12,10,5,2,1,0,67,10,66,32,11,7,16,14,3,2,26,18,15.0,0,0,09-2018-06,"Chicago, Illinois, USA"
1795,Alistair Overeem,Curtis Blaydes,0,0,0.58,0.69,0.0,1.0,2,0,0,0,0.0,7.75,Curtis Blaydes , KO/TKO ,3,2.933333333333333,UFC 225: Whittaker vs. Romero 2,Heavyweight ,12,7,53,37,31,24,85,62,0,0,4,4,8,3,48,32,4,4,5,5,0,0,0,0,10,6,16,3,0,0,14,12,2,1,23,22,12.933333333333334,1,0,09-2018-06,"Chicago, Illinois, USA"
1796,Claudia Gadelha,Carla Esparza,0,0,0.4,0.41,0.8,0.5,1,0,0,0,5.033333333333333,3.5833333333333335,Claudia Gadelha , Decision - Split ,3,5.0,UFC 225: Whittaker vs. Romero 2,Women's Strawweight ,64,26,103,43,124,78,288,205,5,4,4,2,59,23,89,33,5,3,3,3,0,0,11,7,57,22,79,28,2,1,12,7,5,3,12,8,15.0,0,0,09-2018-06,"Chicago, Illinois, USA"
1797,Ricardo Lamas,Mirsad Bektic,0,0,0.54,0.34,0.0,0.5,2,0,1,0,0.9,8.583333333333334,Mirsad Bektic , Decision - Split ,3,5.0,UFC 225: Whittaker vs. Romero 2,Featherweight ,62,34,89,31,97,69,174,97,4,0,4,2,34,8,65,12,23,21,18,15,5,5,6,4,40,15,62,15,20,19,23,14,2,0,4,2,15.0,0,0,09-2018-06,"Chicago, Illinois, USA"
1798,Rashad Coulter,Chris de la Rocha,0,0,0.52,0.5,0.0,0.75,0,2,0,0,0.016666666666666666,5.333333333333333,Chris de la Rocha , KO/TKO ,2,3.8833333333333333,UFC 225: Whittaker vs. Romero 2,Heavyweight ,57,30,79,40,58,30,129,79,1,0,4,3,52,26,75,36,5,4,3,3,0,0,1,1,41,19,46,14,16,11,11,8,0,0,22,18,8.883333333333333,1,0,09-2018-06,"Chicago, Illinois, USA"
1799,Rashad Evans,Anthony Smith,0,1,0.16,0.66,0.0,0.0,0,0,0,0,0.25,0.06666666666666667,Anthony Smith , KO/TKO ,1,0.8833333333333333,UFC 225: Whittaker vs. Romero 2,Light Heavyweight ,6,1,9,6,7,2,9,6,1,0,1,0,6,1,7,4,0,0,0,0,0,0,2,2,3,0,4,2,3,1,3,2,0,0,2,2,0.8833333333333333,1,0,09-2018-06,"Chicago, Illinois, USA"
1800,Joseph Benavidez,Sergio Pettis,0,0,0.31,0.44,0.14,0.0,0,0,0,0,4.4,0.0,Sergio Pettis , Decision - Split ,3,5.0,UFC 225: Whittaker vs. Romero 2,Flyweight ,186,59,168,74,216,86,183,87,14,2,0,0,128,28,155,69,33,14,13,5,25,17,0,0,180,57,158,64,6,2,9,9,0,0,1,1,15.0,0,0,09-2018-06,"Chicago, Illinois, USA"
1801,Clay Guida,Charles Oliveira,0,0,0.36,0.48,0.0,0.0,0,1,0,0,0.0,0.03333333333333333,Charles Oliveira , Submission ,1,2.3,UFC 225: Whittaker vs. Romero 2,Lightweight ,25,9,29,14,25,9,29,14,1,0,0,0,20,4,18,6,3,3,2,1,2,2,9,7,24,8,28,14,1,1,1,0,0,0,0,0,2.3,1,0,09-2018-06,"Chicago, Illinois, USA"
1802,Mike Santiago,Dan Ige,0,0,0.0,0.92,0.0,1.0,0,0,0,0,0.0,0.5333333333333333,Dan Ige , KO/TKO ,1,0.8333333333333334,UFC 225: Whittaker vs. Romero 2,Featherweight ,1,0,27,25,1,0,32,29,0,0,1,1,1,0,27,25,0,0,0,0,0,0,0,0,1,0,2,2,0,0,3,2,0,0,22,21,0.8333333333333334,1,0,09-2018-06,"Chicago, Illinois, USA"
1803,Jimmie Rivera,Marlon Moraes,0,1,0.0,0.77,0.0,0.0,0,0,0,0,0.0,0.0,Marlon Moraes , KO/TKO ,1,0.55,UFC Fight Night: Rivera vs. Moraes,Bantamweight ,3,0,9,7,3,0,9,7,0,0,0,0,3,0,8,6,0,0,0,0,0,0,1,1,3,0,3,2,0,0,0,0,0,0,6,5,0.55,1,0,01-2018-06,"Utica, New York, USA"
1804,Gregor Gillespie,Vinc Pichel,0,0,0.5,0.31,0.77,0.0,2,0,0,0,7.85,0.0,Gregor Gillespie , Submission ,2,4.1,UFC Fight Night: Rivera vs. Moraes,Lightweight ,26,13,22,7,48,30,51,35,9,7,0,0,24,11,21,6,1,1,0,0,1,1,1,1,13,5,17,3,5,2,5,4,8,6,0,0,9.1,1,0,01-2018-06,"Utica, New York, USA"
1805,Walt Harris,Daniel Spitz,1,0,0.36,0.4,0.0,0.0,0,0,0,0,0.16666666666666666,0.0,Walt Harris , KO/TKO ,2,4.983333333333333,UFC Fight Night: Rivera vs. Moraes,Heavyweight ,79,29,42,17,80,30,42,17,0,0,0,0,61,19,17,1,14,6,13,5,4,4,12,11,66,18,42,17,2,2,0,0,11,9,0,0,9.983333333333334,1,0,01-2018-06,"Utica, New York, USA"
1806,Jake Ellenberger,Ben Saunders,0,1,0.55,0.47,0.0,0.0,0,0,0,0,0.6666666666666666,0.0,Ben Saunders , KO/TKO ,1,1.9333333333333333,UFC Fight Night: Rivera vs. Moraes,Welterweight ,9,5,21,10,12,7,22,11,0,0,0,0,8,4,17,7,1,1,4,3,0,0,0,0,2,1,8,1,7,4,10,7,0,0,3,2,1.9333333333333333,1,0,01-2018-06,"Utica, New York, USA"
1807,Julio Arce,Daniel Teymur,0,0,0.35,0.36,0.0,0.0,1,0,0,0,1.3333333333333333,1.5333333333333334,Julio Arce , Submission ,3,2.9166666666666665,UFC Fight Night: Rivera vs. Moraes,Featherweight ,178,63,102,37,199,80,105,39,1,0,2,0,141,37,47,5,31,21,7,4,6,5,48,28,161,52,93,31,11,8,9,6,6,3,0,0,12.916666666666666,1,0,01-2018-06,"Utica, New York, USA"
1808,Gian Villante,Sam Alvey,0,1,0.37,0.43,0.0,0.0,0,0,0,0,0.1,0.0,Sam Alvey , Decision - Split ,3,5.0,UFC Fight Night: Rivera vs. Moraes,Light Heavyweight ,133,50,122,53,133,50,128,59,0,0,0,0,91,20,104,40,23,12,4,2,19,18,14,11,133,50,112,49,0,0,9,4,0,0,1,0,15.0,0,0,01-2018-06,"Utica, New York, USA"
1809,Sijara Eubanks,Lauren Murphy,0,0,0.35,0.39,0.5,0.0,0,0,0,0,4.833333333333333,0.16666666666666666,Sijara Eubanks , Decision - Unanimous ,3,5.0,UFC Fight Night: Rivera vs. Moraes,Women's Flyweight ,213,75,125,49,238,96,147,71,4,2,2,0,179,51,101,35,22,13,17,11,12,11,7,3,193,61,115,39,4,3,7,7,16,11,3,3,15.0,0,0,01-2018-06,"Utica, New York, USA"
1810,Nik Lentz,David Teymur,0,0,0.42,0.35,0.0,0.0,0,0,0,0,0.7333333333333333,0.1,David Teymur , Decision - Unanimous ,3,5.0,UFC Fight Night: Rivera vs. Moraes,Lightweight ,144,61,187,67,146,63,192,72,5,0,0,0,107,31,141,31,28,24,20,12,9,6,26,24,144,61,187,67,0,0,0,0,0,0,0,0,15.0,0,0,01-2018-06,"Utica, New York, USA"
1811,Belal Muhammad,Chance Rencountre,0,0,0.53,0.13,0.75,0.0,1,0,0,0,2.05,0.0,Belal Muhammad , Decision - Unanimous ,3,5.0,UFC Fight Night: Rivera vs. Moraes,Welterweight ,130,70,123,16,149,88,123,16,4,3,3,0,99,45,102,8,11,8,14,3,20,17,7,5,124,65,123,16,1,0,0,0,5,5,0,0,15.0,0,0,01-2018-06,"Utica, New York, USA"
1812,Desmond Green,Gleison Tibau,0,0,0.4,0.15,0.0,0.0,0,0,0,0,0.0,0.0,Desmond Green , Decision - Unanimous ,3,5.0,UFC Fight Night: Rivera vs. Moraes,Lightweight ,191,77,178,28,191,77,179,29,0,0,3,0,160,61,159,20,27,13,17,6,4,3,2,2,187,75,176,28,4,2,2,0,0,0,0,0,15.0,0,0,01-2018-06,"Utica, New York, USA"
1813,Johnny Eduardo,Nathaniel Wood,0,0,0.42,0.34,0.0,0.0,0,1,0,0,0.05,0.6833333333333333,Nathaniel Wood , Submission ,2,2.3,UFC Fight Night: Rivera vs. Moraes,Bantamweight ,88,37,97,33,88,37,97,33,1,0,0,0,72,27,73,20,8,3,7,3,8,7,17,10,86,35,97,33,2,2,0,0,0,0,0,0,7.3,1,0,01-2018-06,"Utica, New York, USA"
1814,Jarred Brooks,Jose Torres,0,0,0.44,0.35,0.4,0.33,0,0,0,1,3.216666666666667,0.7,Jose Torres , KO/TKO ,2,2.9166666666666665,UFC Fight Night: Rivera vs. Moraes,Flyweight ,69,31,62,22,80,42,65,25,5,2,3,1,53,17,51,14,16,14,8,5,0,0,3,3,53,15,49,12,5,5,7,5,11,11,6,5,7.916666666666666,1,0,01-2018-06,"Utica, New York, USA"
1815,Stephen Thompson,Darren Till,0,1,0.23,0.3,0.0,0.0,0,0,0,0,0.0,0.23333333333333334,Darren Till , Decision - Unanimous ,5,5.0,UFC Fight Night: Thompson vs. Till,Welterweight ,126,30,126,38,127,31,129,40,1,0,0,0,92,8,87,18,19,13,12,5,15,9,27,15,125,29,121,34,1,1,5,4,0,0,0,0,25.0,0,0,27-2018-05,"Liverpool, England, United Kingdom"
1816,Neil Magny,Craig White,1,0,0.62,0.35,0.0,0.0,0,0,0,0,1.95,1.8166666666666667,Neil Magny , KO/TKO ,1,4.533333333333333,UFC Fight Night: Thompson vs. Till,Welterweight ,29,18,17,6,53,40,28,13,2,0,2,0,22,14,10,1,6,3,2,2,1,1,5,3,9,2,12,5,3,3,5,1,17,13,0,0,4.533333333333333,1,0,27-2018-05,"Liverpool, England, United Kingdom"
1817,Arnold Allen,Mads Burnell,0,0,0.32,0.35,0.0,0.5,1,0,0,0,0.15,7.733333333333333,Arnold Allen , Submission ,3,2.683333333333333,UFC Fight Night: Thompson vs. Till,Featherweight ,90,29,56,20,101,38,120,70,0,0,12,6,76,21,46,13,14,8,4,3,0,0,6,4,88,29,48,16,2,0,1,1,0,0,7,3,12.683333333333334,1,0,27-2018-05,"Liverpool, England, United Kingdom"
1818,Jason Knight,Makwan Amirkhani,2,0,0.32,0.43,0.0,0.6,1,0,1,0,6.9,0.23333333333333334,Makwan Amirkhani , Decision - Split ,3,5.0,UFC Fight Night: Thompson vs. Till,Featherweight ,88,29,62,27,124,64,68,32,1,0,5,3,52,10,60,25,18,6,1,1,18,13,1,1,86,29,48,18,2,0,0,0,0,0,14,9,15.0,0,0,27-2018-05,"Liverpool, England, United Kingdom"
1819,Claudio Silva,Nordine Taleb,0,0,0.46,0.5,0.33,0.5,1,0,0,0,1.8,0.18333333333333332,Claudio Silva , Submission ,1,4.516666666666667,UFC Fight Night: Thompson vs. Till,Welterweight ,39,18,12,6,51,25,12,6,3,1,2,1,27,11,6,1,9,6,4,3,3,1,2,2,16,6,9,4,4,3,3,2,19,9,0,0,4.516666666666667,1,0,27-2018-05,"Liverpool, England, United Kingdom"
1820,Eric Spicely,Darren Stewart,0,1,0.2,0.37,0.0,0.0,0,0,0,0,1.05,0.25,Darren Stewart , KO/TKO ,2,1.7833333333333334,UFC Fight Night: Thompson vs. Till,Middleweight ,75,15,90,34,79,19,90,34,4,0,0,0,66,11,80,26,5,0,10,8,4,4,0,0,74,15,74,25,1,0,6,4,0,0,10,5,6.783333333333333,1,0,27-2018-05,"Liverpool, England, United Kingdom"
1821,Daniel Kelly,Tom Breese,0,1,0.21,0.52,0.0,0.0,0,0,0,0,0.0,0.016666666666666666,Tom Breese , KO/TKO ,1,3.55,UFC Fight Night: Thompson vs. Till,Middleweight ,28,6,44,23,28,6,44,23,0,0,0,0,19,1,41,21,3,1,3,2,6,4,0,0,28,6,42,22,0,0,0,0,0,0,2,1,3.55,1,0,27-2018-05,"Liverpool, England, United Kingdom"
1822,Lina Lansberg,Gina Mazany,0,0,0.53,0.42,1.0,1.0,0,0,0,0,7.516666666666667,3.0166666666666666,Lina Lansberg , Decision - Unanimous ,3,5.0,UFC Fight Night: Thompson vs. Till,Women's Bantamweight ,75,40,89,38,125,81,178,112,1,1,2,2,44,13,51,10,28,26,25,18,3,1,13,10,42,13,63,24,33,27,26,14,0,0,0,0,15.0,0,0,27-2018-05,"Liverpool, England, United Kingdom"
1823,Brad Scott,Carlo Pedersoli Jr.,1,0,0.37,0.37,0.0,0.75,0,0,0,0,0.016666666666666666,1.4333333333333333,Carlo Pedersoli Jr. , Decision - Split ,3,5.0,UFC Fight Night: Thompson vs. Till,Welterweight ,155,58,179,67,160,63,181,68,0,0,4,3,104,32,137,39,39,16,35,22,12,10,7,6,152,55,176,65,2,2,0,0,1,1,3,2,15.0,0,0,27-2018-05,"Liverpool, England, United Kingdom"
1824,Gillian Robertson,Molly McCann,0,0,0.34,0.3,0.5,0.0,1,0,0,0,4.533333333333333,0.03333333333333333,Gillian Robertson , Submission ,2,2.0833333333333335,UFC Fight Night: Thompson vs. Till,Women's Flyweight ,50,17,33,10,60,26,33,10,4,2,0,0,49,16,32,10,0,0,1,0,1,1,0,0,34,5,33,10,0,0,0,0,16,12,0,0,7.083333333333334,1,0,27-2018-05,"Liverpool, England, United Kingdom"
1825,Elias Theodorou,Trevor Smith,0,0,0.55,0.5,0.0,0.27,0,0,0,0,4.016666666666667,4.366666666666666,Elias Theodorou , Decision - Unanimous ,3,5.0,UFC Fight Night: Thompson vs. Till,Middleweight ,138,77,81,41,203,140,123,82,0,0,11,3,83,37,48,14,47,33,27,21,8,7,6,6,53,23,44,14,81,51,32,24,4,3,5,3,15.0,0,0,27-2018-05,"Liverpool, England, United Kingdom"
1826,Demian Maia,Kamaru Usman,0,1,0.31,0.31,0.0,0.0,0,0,0,0,2.0166666666666666,4.316666666666666,Kamaru Usman , Decision - Unanimous ,5,5.0,UFC Fight Night: Maia vs. Usman,Welterweight ,87,27,209,66,94,33,244,97,15,0,0,0,85,26,181,49,2,1,12,4,0,0,16,13,85,25,187,55,1,1,5,1,1,1,17,10,25.0,0,0,19-2018-05,"Santiago, Chile"
1827,Alexa Grasso,Tatiana Suarez,0,0,0.75,0.22,0.0,0.66,0,1,0,0,0.0,1.6833333333333333,Tatiana Suarez , Submission ,1,2.7333333333333334,UFC Fight Night: Maia vs. Usman,Women's Strawweight ,8,6,9,2,23,21,11,4,0,0,3,2,5,4,7,1,3,2,1,0,0,0,1,1,2,0,8,1,4,4,0,0,2,2,1,1,2.7333333333333334,1,0,19-2018-05,"Santiago, Chile"
1828,Jared Cannonier,Dominick Reyes,0,1,0.28,0.38,0.0,0.0,0,0,0,0,0.0,0.0,Dominick Reyes , KO/TKO ,1,2.9166666666666665,UFC Fight Night: Maia vs. Usman,Light Heavyweight ,21,6,52,20,26,10,53,21,0,0,1,0,18,4,33,7,1,0,11,5,2,2,8,8,20,6,49,19,1,0,3,1,0,0,0,0,2.9166666666666665,1,0,19-2018-05,"Santiago, Chile"
1829,Diego Rivas,Guido Cannetti,0,0,0.47,0.47,0.4,0.33,1,1,0,1,3.05,5.933333333333334,Guido Cannetti , Decision - Unanimous ,3,5.0,UFC Fight Night: Maia vs. Usman,Bantamweight ,46,22,53,25,50,26,75,44,5,2,3,1,23,10,35,12,17,7,11,6,6,5,7,7,31,8,32,10,14,13,12,7,1,1,9,8,15.0,0,0,19-2018-05,"Santiago, Chile"
1830,Veronica Macedo,Andrea Lee,0,0,0.32,0.6,1.0,0.6,1,2,0,0,1.7166666666666666,8.066666666666666,Andrea Lee , Decision - Unanimous ,3,5.0,UFC Fight Night: Maia vs. Usman,Women's Flyweight ,73,24,93,56,100,42,131,87,1,1,5,3,60,17,37,17,7,3,29,24,6,4,27,15,57,19,40,15,6,4,28,26,10,1,25,15,15.0,0,0,19-2018-05,"Santiago, Chile"
1831,Vicente Luque,Chad Laprise,1,0,0.4,0.44,0.0,0.0,0,0,0,0,0.0,0.85,Vicente Luque , KO/TKO ,1,4.266666666666667,UFC Fight Night: Maia vs. Usman,Welterweight ,35,14,29,13,35,14,30,14,0,0,1,0,26,9,21,6,3,1,3,3,6,4,5,4,30,10,25,9,1,1,4,4,4,3,0,0,4.266666666666667,1,0,19-2018-05,"Santiago, Chile"
1832,Zak Cummings,Michel Prazeres,0,0,0.3,0.39,0.0,0.33,0,0,0,0,2.216666666666667,2.7333333333333334,Michel Prazeres , Decision - Split ,3,5.0,UFC Fight Night: Maia vs. Usman,Welterweight ,92,28,76,30,128,62,78,32,0,0,9,3,64,12,59,20,21,11,7,4,7,5,10,6,74,15,72,29,18,13,4,1,0,0,0,0,15.0,0,0,19-2018-05,"Santiago, Chile"
1833,Brandon Moreno,Alexandre Pantoja,0,0,0.33,0.47,0.28,0.0,0,0,0,0,0.26666666666666666,1.2,Alexandre Pantoja , Decision - Unanimous ,3,5.0,UFC Fight Night: Maia vs. Usman,Flyweight ,133,45,168,79,140,50,187,96,7,2,0,0,113,32,133,58,5,4,17,7,15,9,18,14,126,43,154,69,7,2,6,3,0,0,8,7,15.0,0,0,19-2018-05,"Santiago, Chile"
1834,Poliana Botelho,Syuri Kondo,1,0,0.69,0.66,0.0,0.0,0,0,0,0,0.08333333333333333,0.0,Poliana Botelho , KO/TKO ,1,0.55,UFC Fight Night: Maia vs. Usman,Women's Strawweight ,13,9,3,2,13,9,3,2,0,0,0,0,10,7,1,0,2,1,0,0,1,1,2,2,6,3,3,2,0,0,0,0,7,6,0,0,0.55,1,0,19-2018-05,"Santiago, Chile"
1835,Gabriel Benitez,Humberto Bandenay,1,0,0.47,1.0,1.0,0.0,0,1,0,0,0.4,0.0,Gabriel Benitez , KO/TKO ,1,0.65,UFC Fight Night: Maia vs. Usman,Featherweight ,19,9,2,2,19,9,2,2,1,1,0,0,17,7,1,1,1,1,0,0,1,1,1,1,6,2,2,2,0,0,0,0,13,7,0,0,0.65,1,0,19-2018-05,"Santiago, Chile"
1836,Enrique Barzola,Brandon Davis,0,0,0.54,0.33,0.66,0.0,1,0,0,0,7.216666666666667,0.8833333333333333,Enrique Barzola , Decision - Unanimous ,3,5.0,UFC Fight Night: Maia vs. Usman,Featherweight ,94,51,87,29,149,89,102,39,15,10,1,0,72,33,72,18,9,5,4,2,13,13,11,9,59,27,85,28,9,5,1,1,26,19,1,0,15.0,0,0,19-2018-05,"Santiago, Chile"
1837,Henry Briones,Frankie Saenz,0,1,0.42,0.55,0.0,0.4,1,0,0,0,0.13333333333333333,4.166666666666667,Frankie Saenz , Decision - Unanimous ,3,5.0,UFC Fight Night: Maia vs. Usman,Bantamweight ,104,44,120,66,123,58,138,84,0,0,10,4,82,25,81,36,13,10,22,18,9,9,17,12,98,40,84,40,6,4,19,16,0,0,17,10,15.0,0,0,19-2018-05,"Santiago, Chile"
1838,Claudio Puelles,Felipe Silva,0,1,0.32,0.53,0.28,1.0,1,0,0,0,1.4666666666666666,2.8666666666666667,Claudio Puelles , Submission ,3,2.3833333333333333,UFC Fight Night: Maia vs. Usman,Lightweight ,49,16,130,70,49,16,171,103,7,2,1,1,41,11,101,48,6,3,17,12,2,2,12,10,44,12,75,30,0,0,6,4,5,4,49,36,12.383333333333333,1,0,19-2018-05,"Santiago, Chile"
1839,Amanda Nunes,Raquel Pennington,0,0,0.48,0.37,0.75,0.12,0,0,0,0,4.483333333333333,2.216666666666667,Amanda Nunes , KO/TKO ,5,2.6,UFC 224: Nunes vs. Pennington, Women's Bantamweight  ,254,124,169,64,288,152,186,79,4,3,8,1,171,72,148,49,46,31,15,10,37,21,6,5,219,96,160,56,19,15,8,7,16,13,1,1,22.6,1,1,12-2018-05,"Rio de Janeiro, Rio de Janeiro, Brazil"
1840,Jacare Souza,Kelvin Gastelum,0,1,0.55,0.36,0.11,0.0,1,0,1,0,3.466666666666667,0.5833333333333334,Kelvin Gastelum , Decision - Split ,3,5.0,UFC 224: Nunes vs. Pennington,Middleweight ,115,64,145,53,129,78,149,57,9,1,0,0,84,42,133,44,30,21,10,7,1,1,2,2,90,42,125,41,11,8,10,9,14,14,10,3,15.0,0,0,12-2018-05,"Rio de Janeiro, Rio de Janeiro, Brazil"
